what,when,with,where,why
"Ph.D. in Learning, Design, and Technology",2021,The Pennsylvania State University,"University Park, PA","Dissertation Title: ""Discovering Informal Learning Cultures of Blind Individuals Pursuing STEM Disciplines: A Computational Ethnography Using Public Listserv Archives."""
,,,,"Committee members: Drs. Gabriela T. Richard (adviser; dissertation chair), Roy B. Clariana, ChanMin Kim, and Mary Beth Rosson."
"M.Ed. in Learning, Design, and Technology",2016,The Pennsylvania State University,"University Park, PA",
"Double B.A. in Education, English Literature",2014,Sungkyunkwan University,"Seoul, South Korea",
