what,when,with,where,why
Assistant Professor,Sep. 2021 - Present,School of Information Sciences,University of Illinois at Urbana-Champaign,
Faculty Affiliate,Dec. 2021 - Present,National Center for Supercomputing Applications,University of Illinois at Urbana-Champaign,
Faculty Affiliate,Sep. 2021 - Present,Illinois Informatics Institute,University of Illinois at Urbana-Champaign,
Faculty Affiliate,Jan. 2022 - Present,"IDEA (Inclusion, Diversity, Equity, and Access) Institute",University of Illinois at Urbana-Champaign,
Affiliate Scientist,Jul. 2023 - Present,"Rehabilitation Engineering Research Center (RERC) on Blindness and Low Vision",Smith-Kettlewell Eye Research Institute,
Software Engineer Intern,May. 2020 - Aug. 2020,RStudio,"Boston, MA",
