what,when,with,where,why
Co-Instructor,Fall 2021,"School of Information Sciences, University of Illinois at Urbana-Champaign","Champaign, IL",IS 226: Introduction to Human-Computer Interaction
Accessibility Instructor,Mar. 2015 - Aug. 2021,"IT Accessibility Team, Teaching and Learning with Technology (TLT)","University Park, PA",Teaching over 100 staff members of the Penn State Accessibility team HTML5/CSS3/JavaScript coding and accessibility evaluation practice.
Assistant English Teacher,Mar. 2013 - May. 2013,Gunpo High School,"Gyeonggi, South Korea",Taught English to 10-grade high school students.
